"id","name","price","city","marka","model","color","memory","simkart"
"1","Samsung Galaxy J5 Black 8GB/1.5GB","90","Gəncə","Samsung","Galaxy J5","Black","8GB/1.5GB","Dual SIM"
"2","Xiaomi Redmi S2 Gray 32GB/3GB","130","Gəncə","Xiaomi","Redmi S2","Gray","32GB/3GB","null"
"3","Apple iPhone 11 Pro Midnight Green 64GB/4GB","1 650","Gəncə","Apple iPhone","11 Pro","Midnight Green","64GB/4GB","Dual SIM"
"4","Apple iPhone 11 Black 128GB/4GB","1 249","Gəncə","Apple iPhone","11","Black","128GB/4GB","Dual SIM"
"5","Samsung Galaxy A6+ (2018) Black 32GB/4GB","215","Gəncə","Samsung","Galaxy A6+ (2018)","Black","32GB/4GB","Dual SIM"
"6","Xiaomi Redmi Note 8 Space Black 64GB/4GB","230","Gəncə","Xiaomi","Redmi Note 8","Space Black","64GB/4GB","null"
"7","Samsung Galaxy A03s Black 64GB/4GB","300","Gəncə","Samsung","Galaxy A03s","Black","64GB/4GB","null"
"8","Apple iPhone 6 Gold 16GB","100","Gəncə","Apple iPhone","6","Gold","16GB","null"
"9","Samsung Galaxy A32 Awesome Violet 64GB/4GB","350","Gəncə","Samsung","Galaxy A32","Awesome Violet","64GB/4GB","Dual SIM"
"10","Airpods Pro","300","Gəncə","Aksesuarlar","null","null","null","null"
"11","Apple iPhone 7 Silver 32GB","180","Gəncə","Apple iPhone","7","Silver","32GB","null"
"12","""Sony Z3"" batareyası (ehtiyacı olanlar üçün) ","1","Gəncə","Aksesuarlar","null","null","null","null"
"13","Samsung Galaxy J1 (2016) Gold 8GB/1GB","70","Gəncə","Samsung","Galaxy J1 (2016)","Gold","8GB/1GB","Dual SIM"
"14","Samsung Galaxy A32 Awesome Violet 128GB/4GB","360","Gəncə","Samsung","Galaxy A32","Awesome Violet","128GB/4GB","Dual SIM"
"15","Apple iPhone SE Silver 16GB","200","Gəncə","Apple iPhone","SE","Silver","16GB","null"
"16","Apple iPhone 12 Pro Gold 256GB/6GB","1 900","Gəncə","Apple iPhone","12 Pro","Gold","256GB/6GB","Dual SIM"
"17","Apple iPhone SE (2020) Black 64GB/3GB","599","Gəncə","Apple iPhone","SE (2020)","Black","64GB/3GB","null"
"18","Samsung Galaxy A50 Black 64GB/4GB","235","Gəncə","Samsung","Galaxy A50","Black","64GB/4GB","Dual SIM"
"19","Samsung Galaxy J1 mini prime Gold 8GB/1GB","65","Gəncə","Samsung","Galaxy J1 mini prime","Gold","8GB/1GB","Dual SIM"
